Event	ID	Name			Wwise Object Path	Notes
	87707182	Stop__Cue_World_Event__Request_Game			\Music\Music\Stop__Cue_World_Event__Request_Game	
	148746486	Stop__Music__Stop			\Music\Music\Stop__Music__Stop	
	305070185	Stop__Codelab__Music_Loop_Disco_1_135bpm_Loop_Stop			\Music\Codelab__Music\Stop__Codelab__Music_Loop_Disco_1_135bpm_Loop_Stop	
	363664914	Play__Codelab__Music_Tiny_Orchestra_Strings_02_Loop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Play__Codelab__Music_Tiny_Orchestra_Strings_02_Loop	
	668702647	Play__Codelab__Music_Tiny_Orchestra_Glock_Pluck_03_Loop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Play__Codelab__Music_Tiny_Orchestra_Glock_Pluck_03_Loop	
	708318267	Play__App__Music_VC_Mode_On			\Music\Music\Play__App__Music_VC_Mode_On	
	716489468	Play__Codelab__Music_Hot_Potato_Level_1_Loop			\Music\Codelab__Music\Codelab__Music_Hot_Potato\Play__Codelab__Music_Hot_Potato_Level_1_Loop	
	846761783	Play__Codelab__Music_Tiny_Orchestra_Strings_01_Loop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Play__Codelab__Music_Tiny_Orchestra_Strings_01_Loop	
	1000549318	Stop__Cue_World_Event__Cubes_Stacked			\Music\Music\Stop__Cue_World_Event__Cubes_Stacked	
	1352943452	Play__Codelab__Music_Tiny_Orchestra_Bass_01_Loop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Play__Codelab__Music_Tiny_Orchestra_Bass_01_Loop	
	1353021637	Stop__Codelab__Music_Tiny_Orchestra_Bass_01_Loop_Stop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Stop__Codelab__Music_Tiny_Orchestra_Bass_01_Loop_Stop	
	1371551766	Stop__Codelab__Music_Tiny_Orchestra_Glock_Pluck_01_Loop_Stop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Stop__Codelab__Music_Tiny_Orchestra_Glock_Pluck_01_Loop_Stop	
	1416718788	Play__Codelab__Music_Tiny_Orchestra_Glock_Pluck_02_Loop			\Music\Codelab__Music\Codelab__Music_Tiny_Orchestra\Play__Codelab__Music_Tiny_Orchestra_Glock_Pluck_02_Loop	
	1451276801	Stop__Codelab__Music_Style_80s_1_159bpm_Loop_Stop			\Music\Codelab__Music\Stop__Codelab__Music_Style_80s_1_159bpm_Loop_Stop	
	1709157641	Stop__Codelab__Music_Style_Mambo_1_183bpm_Loop_Stop			\Music\Codelab__Music\Stop__Codelab__Music_Style_Mambo_1_183bpm_Loop_Stop	
	1721389992	Play__App__Music_Dim_Off			\Music\Music\Play__App__Music_Dim_Off	
	1808088864	Play__Codelab__Music_Style_80s_1_159bpm_Loop			\Music\Codelab__Music\Play__Codelab__Music_Style_80s_1_159bpm_Loop	
	1823437100	Play__Cue_World_Event__Request_Game			\Music\Music\Play__Cue_World_Event__Request_Game	
